"No.","Time","Source","Destination","Protocol","Length","Info"
"9653","981.726570473","88.99.245.8","172.21.0.134","TCP","120","[TCP Retransmission] 443  >  52454 [PSH, ACK] Seq=5986567 Ack=1 Win=501 Len=54 TSval=1404205017 TSecr=4005709753"
"9655","981.746233680","88.99.245.8","172.21.0.134","TLSv1.2","120","[TCP Fast Retransmission] , Application Data"
"9657","982.027456183","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9659","982.232072782","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9661","982.437069826","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9663","982.646933600","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9665","982.948748025","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9667","983.154159817","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9669","983.358752895","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=5995153 Ack=1 Win=501 Len=1368 TSval=1404206582 TSecr=4005711391 [TCP segment of a reassembled PDU]"
"9671","983.665950300","88.99.245.8","172.21.0.134","TLSv1.2","1488","[TCP Previous segment not captured] , Application Data"
"9672","983.665950783","88.99.245.8","172.21.0.134","TCP","120","[TCP Retransmission] 443  >  52454 [PSH, ACK] Seq=5997943 Ack=1 Win=501 Len=54 TSval=1404206917 TSecr=4005711596"
"9675","983.693815591","88.99.245.8","172.21.0.134","TCP","120","[TCP Retransmission] 443  >  52454 [PSH, ACK] Seq=5996521 Ack=1 Win=501 Len=54 TSval=1404206983 TSecr=4005711903"
"9677","983.973264417","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9679","984.178264465","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9681","984.382856407","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9683","984.689719976","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9685","984.999387853","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9686","984.999388493","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9689","985.095458201","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=6006529 Ack=1 Win=501 Len=1368 TSval=1404208312 TSecr=4005712927 [TCP segment of a reassembled PDU]"
"9691","985.095641806","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"9693","985.406294288","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9695","985.612166539","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9697","985.919782793","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9699","986.124213419","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9701","986.382520810","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9703","986.840766985","88.99.245.8","172.21.0.134","TLSv1.2","1488","[TCP Previous segment not captured] , Application Data"
"9705","986.866920879","88.99.245.8","172.21.0.134","TCP","1434","[TCP Retransmission] 443  >  52454 [ACK] Seq=6015061 Ack=1 Win=501 Len=1368 TSval=1404210158 TSecr=4005715078"
"9707","986.867065719","88.99.245.8","172.21.0.134","TCP","120","[TCP Retransmission] 443  >  52454 [PSH, ACK] Seq=6016429 Ack=1 Win=501 Len=54 TSval=1404210158 TSecr=4005715078"
"9709","987.148877049","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9711","987.351887733","88.99.245.8","172.21.0.134","TLSv1.2","120","[TCP Previous segment not captured] , Ignored Unknown Record"
"9713","987.557906243","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9714","987.557906811","88.99.245.8","172.21.0.134","TCP","1434","[TCP Out-Of-Order] 443  >  52454 [ACK] Seq=6019327 Ack=1 Win=501 Len=1368 TSval=1404210809 TSecr=4005715589"
"9717","987.864271629","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9719","988.069202672","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9721","988.239426017","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=6025015 Ack=1 Win=501 Len=1368 TSval=1404211469 TSecr=4005716306 [TCP segment of a reassembled PDU]"
"9723","988.240276811","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"9725","988.581658732","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9727","988.786021560","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9729","988.991383530","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9731","989.299070948","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9733","989.504039824","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9735","989.810498020","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9737","989.998049099","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9739","990.220165084","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9741","990.732246699","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
"9743","990.767096704","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=6039235 Ack=1 Win=501 Len=1368 TSval=1404213954 TSecr=4005718457 [TCP segment of a reassembled PDU]"
"9745","990.767640475","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"9747","990.875946050","88.99.245.8","172.21.0.134","TCP","1434","443  >  52454 [ACK] Seq=6040657 Ack=1 Win=501 Len=1368 TSval=1404214098 TSecr=4005719005 [TCP segment of a reassembled PDU]"
"9749","990.876111296","88.99.245.8","172.21.0.134","TLSv1.2","120","Application Data"
"9751","991.143585450","88.99.245.8","172.21.0.134","TLSv1.2","1488","Application Data"
